ROW     COL     TYPE                TOKEN/ERROR MESSAGE 
1       1       Keyword             PROGRAM
1       9       Keyword             IS
2       5       Keyword             VAR
2       9       Identifer           I
2       11      Delimiter           :
2       13      Identifer           INTEGER
2       21      Operator            :=
2       24      Integer             0
2       25      Delimiter           ;
3       5       Keyword             TYPE
3       10      Identifer           COMPLEX
3       18      Keyword             IS
3       21      Keyword             RECORD
3       28      Identifer           R
3       29      Delimiter           :
3       31      Identifer           REAL
3       35      Delimiter           ;
3       37      Identifer           I
3       39      Delimiter           :
3       41      Identifer           REAL
3       45      Delimiter           ;
3       47      Keyword             END
3       50      Delimiter           ;
4       5       Keyword             TYPE
4       10      Identifer           PAIR
4       15      Keyword             IS
4       18      Keyword             RECORD
4       25      Identifer           FIRST
4       30      Delimiter           :
4       32      Identifer           COMPLEX
4       39      Delimiter           ;
4       41      Identifer           SECOND
4       48      Delimiter           :
4       50      Identifer           COMPLEX
4       57      Delimiter           ;
4       59      Keyword             END
4       62      Delimiter           ;
5       5       Keyword             VAR
5       9       Identifer           C
5       11      Delimiter           :
5       13      Identifer           COMPLEX
5       21      Operator            :=
5       24      Identifer           COMPLEX
5       32      Delimiter           {
5       34      Identifer           R
5       36      Operator            :=
5       39      Real                0.0
5       42      Delimiter           ;
5       44      Identifer           I
5       46      Operator            :=
5       49      Real                0.0
5       53      Delimiter           }
5       54      Delimiter           ;
6       5       Keyword             VAR
6       9       Identifer           P
6       11      Delimiter           :
6       13      Identifer           PAIR
6       18      Operator            :=
6       21      Identifer           PAIR
6       26      Delimiter           {
6       28      Identifer           FIRST
6       34      Operator            :=
6       37      Identifer           COMPLEX
6       45      Delimiter           {
6       47      Identifer           R
6       49      Operator            :=
6       52      Real                0.0
6       55      Delimiter           ;
6       57      Identifer           I
6       59      Operator            :=
6       62      Real                0.0
6       66      Delimiter           }
6       67      Delimiter           ;
7       28      Identifer           SECOND
7       35      Operator            :=
7       38      Identifer           COMPLEX
7       46      Delimiter           {
7       48      Identifer           R
7       50      Operator            :=
7       53      Real                0.0
7       56      Delimiter           ;
7       58      Identifer           I
7       60      Operator            :=
7       63      Real                0.0
7       67      Delimiter           }
7       69      Delimiter           }
7       70      Delimiter           ;
8       5       Keyword             PROCEDURE
8       15      Identifer           PRINT
8       20      Delimiter           (
8       21      Delimiter           )
8       23      Keyword             IS
8       26      Keyword             BEGIN
9       2       Keyword             WRITE
9       7       Delimiter           (
9       8       String              "    ("
9       15      Delimiter           ,
9       17      Identifer           C
9       18      Delimiter           .
9       19      Identifer           R
9       20      Delimiter           ,
9       22      String              ", "
9       26      Delimiter           ,
9       28      Identifer           C
9       29      Delimiter           .
9       30      Identifer           I
